GEWICHT	RESPNR	VAR001	VAR002	VAR171	VAR172	VAR173	VAR174	VAR154A	VAR154	VAR155	VAR156	VAR157	VAR157A	VAR158	VAR159A	VAR159	VAR160	VAR161	VAR162	VAR162A	VAR163	VAR100	VAR101	VAR103	VAR105	VAR107	VAR109	VAR121	VAR122	VAR124	VAR137	VAR138	VAR139	VAR140	VAR515	VAR737	VAR728A	VAR728B	VAR728C	VAR728D	VAR728E	VAR728F	VAR729A	VAR729B	VAR729C	VAR729D	VAR729E	VAR729F	VAR546	VAR730	VAR725A	VAR725B	VAR725C	VAR725F	VAR725G	VAR725H	VAR725J	VAR725L	VAR725M	VAR725O	VAR725P	VAR725Q	VAR726	VAR727A	VAR727B	VAR727C	VAR727D	VAR727E	VAR727F	VAR727G	VAR003	VAR006	VAR007	VAR012	VAR013	VAR014	VAR015	VAR016	VAR200	VAR201	VAR462	VAR736	VAR009	VAR734	VAR733	VAR732	VAR629	VAR631
1	302	1	20	1	2	1	1	-3	1	-3	1	-3	1	1	1	3	2	1	3	2	1	3	2	1	1	4	1	4	3	2	-5	-5	-5	-5	2	15	3	1	3	1	2	2	1	2	3	-3	3	2	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	5	2	4	2	4	4	1	3	1	3	3	-5	-5	7	1	2	3	2	3	4	2	3	8	3
1	303	2	30	1	1	1	2	1	1	1	1	1	1	-3	2	3	1	1	3	3	-3	2	2	2	2	2	2	3	2	2	2	1	2	1	1	11	2	3	2	3	2	3	3	3	3	3	1	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	3	3	5	4	2	3	1	1	1	1	1	1	3	7	1	3	3	4	3	3	5	5	8	4
1	304	2	48	1	1	1	1	1	1	1	1	1	1	-3	2	3	2	2	3	3	3	2	3	2	4	2	2	2	4	4	1	2	1	1	3	6	2	1	2	1	2	2	1	2	1	2	1	1	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	3	2	3	3	4	2	2	1	-5	1	1	1	1	-5	1	4	1	7	1	5	2	4	8	4
1	305	1	61	2	1	2	1	1	1	-3	-3	1	1	1	2	3	1	1	-3	1	-3	3	2	1	3	4	1	4	4	4	1	1	1	1	3	9	2	1	2	1	1	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	3	2	3	3	4	4	1	2	1	1	1	7	-5	-5	2	4	1	10	2	4	2	4	8	4
1	306	1	33	3	1	1	1	1	-3	-3	1	2	2	1	-3	3	-3	-3	3	2	2	4	2	3	3	5	5	4	3	2	1	1	1	1	2	6	2	3	3	3	3	3	3	3	3	3	3	3	2	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	5	4	4	2	2	4	1	5	1	3	3	-5	-5	6	1	1	7	4	5	3	4	6	10	2
1	307	2	33	1	1	1	1	1	1	2	1	1	2	1	3	3	3	2	3	3	3	1	1	1	2	1	1	3	4	1	1	1	2	1	1	6	3	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1	5	1	5	5	4	1	1	4	1	3	1	1	1	-5	1	1	-3	4	5	2	4	8	10	2
1	308	1	39	2	1	1	2	1	1	-3	1	1	1	1	2	2	2	1	3	3	3	3	2	4	2	2	1	5	5	5	2	1	2	1	3	7	2	3	3	3	1	3	3	3	3	3	3	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	3	4	4	5	3	1	3	1	3	3	-5	-5	-3	1	4	9	5	3	3	4	6	10	2
1	309	2	49	1	1	1	1	-3	1	-3	-3	-3	-3	-3	2	3	-3	2	-3	-3	3	2	2	1	1	1	1	2	5	5	2	1	2	1	3	8	3	3	2	3	2	3	3	3	3	3	2	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	5	2	5	2	5	5	1	4	1	3	1	1	2	6	1	3	-3	7	6	1	6	10	10	2
1	401	2	17	1	1	1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	2	2	3	3	-3	2	1	3	3	2	2	2	4	3	-5	-5	-5	-5	2	12	2	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	4	4	4	4	4	2	5	3	3	1	6	-5	-5	1	1	-3	6	4	3	4	7	5	6
1	402	1	33	1	1	1	1	1	1	1	0	1	1	1	2	3	2	2	3	3	3	2	2	1	2	1	1	1	3	2	1	1	2	1	2	8	3	3	2	3	2	3	3	3	3	3	3	3	-3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	3	3	3	2	-3	5	1	2	1	3	3	-5	-5	6	1	3	5	4	2	4	4	6	5	6
1	403	2	59	2	1	1	1	1	1	-3	0	2	2	-3	1	3	-3	1	3	1	1	2	2	1	1	2	2	4	-3	2	1	-3	1	1	3	10	2	2	3	2	2	3	3	-3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	3	2	3	4	4	5	1	1	-5	3	1	1	3	7	1	3	4	9	1	4	2	4	5	6
1	404	1	25	3	1	1	1	1	1	1	1	1	1	1	2	3	2	2	3	2	3	4	2	3	2	1	1	2	-3	4	2	2	2	1	3	13	2	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	2	3	4	4	2	1	6	1	3	3	-5	-5	5	1	1	8	2	6	1	2	3	5	6
1	405	2	33	2	1	2	1	0	1	1	0	1	0	1	1	3	2	1	3	2	2	4	2	4	2	4	1	4	2	4	2	2	2	1	3	7	2	3	3	3	3	3	3	3	3	3	3	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	5	1	3	4	5	2	1	4	1	3	1	1	3	6	1	2	4	4	6	2	2	3	5	6
1	406	2	27	2	2	1	1	1	1	0	0	1	0	1	2	2	1	1	2	2	2	2	2	2	4	2	1	5	2	5	-3	-3	2	1	3	10	2	1	2	1	3	3	1	3	1	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	3	3	3	3	3	2	5	1	2	1	3	1	1	3	8	2	3	4	3	2	4	5	8	2	1
1	407	1	45	3	1	1	1	2	1	2	2	2	2	1	3	3	3	3	3	3	3	2	3	2	2	2	2	2	2	4	2	1	2	2	1	15	3	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	2	4	2	2	2	1	2	1	1	1	3	3	8	1	1	6	7	2	4	5	10	2	1
1	408	2	36	1	1	1	1	1	1	2	2	2	2	1	2	3	2	2	3	2	3	4	2	2	5	2	1	2	4	4	-3	1	2	1	2	9	2	1	2	3	3	3	3	3	3	3	3	3	3	3	-2	-2	1	-2	-2	-2	-2	-2	-2	-2	-2	-5	3	1	5	1	5	2	5	1	1	1	-5	3	3	-5	-5	7	1	3	3	5	2	4	4	6	2	1
1	409	1	22	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	3	3	3	4	2	1	2	4	1	4	4	2	2	1	2	1	3	11	3	3	3	3	3	3	1	2	1	2	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	2	5	2	5	2	1	4	1	3	3	-5	-5	6	1	4	4	2	4	3	2	3	2	1
1	500	2	23	3	1	2	1	1	1	1	1	1	1	1	2	3	1	1	3	2	3	2	4	2	2	2	2	3	4	2	-3	2	2	1	1	10	3	3	3	3	3	3	3	3	3	3	3	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	3	4	3	3	3	1	3	1	3	1	1	3	7	1	3	4	2	2	4	3	5	2	1
1	501	1	64	3	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	3	3	1	3	1	5	3	1	3	4	3	2	2	1	1	3	7	2	1	3	1	1	3	1	2	3	2	2	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	3	4	3	4	4	4	4	4	1	1	1	7	-5	-5	1	1	4	10	4	3	1	2	4	5
1	502	1	40	1	1	1	1	1	1	1	0	2	0	1	-3	3	-3	-3	3	1	3	2	2	2	4	2	2	2	5	5	1	-3	2	1	2	10	3	3	2	3	3	3	3	3	1	3	3	3	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	3	5	2	4	-3	1	2	1	3	2	-5	-5	7	1	2	3	5	2	4	4	6	4	5
1	503	2	36	1	1	2	1	-3	1	0	0	-3	-3	1	1	3	1	1	3	3	3	2	2	2	4	2	2	2	3	2	1	1	2	1	3	10	2	1	2	3	1	3	1	2	1	3	1	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	2	4	1	5	2	1	2	1	1	1	1	3	6	1	2	4	5	2	4	4	6	4	5
1	504	1	34	1	1	1	1	0	-3	-3	-3	-3	-3	-3	2	3	-3	-3	-3	-3	-3	1	1	3	4	1	1	2	4	3	2	2	2	1	2	8	2	3	2	3	3	3	1	3	1	3	1	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	4	4	3	4	2	3	5	1	2	1	3	2	-5	-5	8	1	3	5	4	2	4	4	5	4	5
1	505	2	26	1	1	1	1	1	1	1	2	-3	-3	-3	1	3	1	1	3	2	-3	1	1	1	1	1	1	1	2	5	2	1	2	1	1	11	2	3	3	3	2	3	1	3	3	3	1	3	1	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	3	4	3	4	4	3	1	1	1	1	1	1	2	9	1	1	3	3	1	4	3	5	4	5
1	506	2	33	1	1	1	1	0	1	1	0	1	1	0	1	3	1	1	3	1	-3	4	2	2	3	2	3	4	5	4	1	1	2	1	2	7	2	1	2	1	2	3	1	2	1	2	3	1	3	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	4	2	3	3	3	5	1	2	1	3	1	1	3	7	1	3	-2	4	1	4	5	6	9	1
