RESPNR	HHNR	HHPNR	INSTRU	INT000	INT001	INT004	INT044	INT071	INT087	INT229	INT239	INT264	INT265	INT265A	INT266	INT266A	INT267	INT268	INT270	INT271	INT272	INT276	INT278	INT279	INT281	INT282	INT283	INT284	INT285	INT286	INT287	INT289	INT291	INT292	INT293	INT295	INT296	INT300	INT301	INT303	INT305	INT307	INT309	INT311	INT313	INT314	INT315	INT318	INT319	INT320	INT321	INT322	INT323	INT600	INT601	INT602	INT603	INT604	INT605	INT606	INT607	INT608	INT609	INT610	INT611	INT612	INT613	INT614	INT615	INT616	INT617	INT618	INT619	INT620	INT621	INT622	INT623	INT624	INT625	V040	V041	V049	V065	V200	V201	V202	VAR0000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR040	VAR043	VAR064	VAR065	VAR096	VAR100	VAR101	VAR103	VAR107	VAR109	VAR121	VAR122	VAR124	VAR125	VAR131	VAR132	VAR133	VAR134	VAR135	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR179	VAR180	VAR181	VAR183	VAR184	VAR185	VAR198	VAR201	VAR204	VAR221	VAR229	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR319	VAR320	VAR346	VAR351	VAR406	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR430	VAR431	VAR433	VAR434	VAR437	VAR439	VAR445	VAR454	VAR461	VAR462	VAR491	VAR493	VAR497	VAR499	VAR515	VAR516	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR594	VAR599	VAR600	VAR608	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR634	VAR635	VAR636	VAR683B	VAR684	VAR687	VAR688	VAR723	VAR728B	VAR729B	VAR768	VAR848	VAR849	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900J	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR951	VAR952	VAR953	VAR1031	VAR1033	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1050	VAR1052	VAR1061	VAR1062	VAR1076	VAR1077	VAR1103	VAR1104	VAR1105X	VAR1106	VAR1140	VAR1141	VAR1142	VAR1143	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1145M	VAR1146	VAR1161	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1162M	VAR1163	VAR1227	VAR1228	VAR1229	VAR1230	VAR3000	ISCO
1847	1847	1	1	1	14	0	2	4	5	6	4	3	1	1	4	3	3	4	4	4	2	4	3	3	4	2	2	2	2	4	2	2	2	3	4	4	2	3	3	3	3	3	2	2	2	2	1	3	2	2	2	2	4	4	4	4	4	3	1	1	1	2	2	2	2	3	3	3	3	3	3	4	3	2	2	2	2	4	2	1	1	1	2	2	2	6		2	45	1	4	7	3	2	1	2	2	3	3	3	2	2	4	4	2	1	2	1	1	1	2	2	3	1	2	2	2	2	2	2	1	4	3	2	1	2	2	2	1	2	2	2	4	2	3	3	3	3	1	1	2	2	2	4	2	3	1	2	3	1	3	3	3	1	3	2	5	2	4	4	5	4	4	13	3	1	3	1	2	2	1	2	-5	2	-5	2	-5	2	-5	2	-5	2	2	2	4	3	3	3	2	4	2	2	3	5	49	78	12	5	5	962	124	39	40	5	14	3	1	3	3	1	1	1	6	3	3	2	2	4	0.44	5	12	1	1	2	1	2	12505001	3	3	2034	1950	1	1	3	1	1		1	45	2	45	2	20																			2	3	3	1	3	4	15	9	11	5	16	13	14	3	1	7	10	6	12	2	8	4	2	12	0	2	2	2	2	4	2	2	2	2	2	4	7	6	6	6	4	6	7	7	7	7	5	7	2	3	3	2	3	1	2	3	2	2	2	2	2	1	2	2	2	3	3	3	49209	5133
91847	1847	2	1	1	15	-5	2	4	1	2	4	-3	3	1	1	2	4	4	2	2	4	2	-3	4	-3	3	4	-3	4	2	4	4	2	3	4	4	2	3	2	3	3	2	2	2	1	2	2	3	2	2	2	2	4	4	3	2	4	3	1	2	1	2	3	2	4	3	4	2	3	3	3	-3	3	2	2	2	2	-3	2	2	-5	-5	1	2	2	7		2	20	5	4	-5	3	3	-3	2	2	4	4	3	2	4	4	2	3	-3	1	1	1	2	1	2	3	1	2	2	-3	-3	-3	2	1	4	4	2	1	1	-3	2	1	1	2	2	5	3	3	-3	2	-3	3	-5	1	-3	1	4	2	3	1	3	3	1	1	3	3	1	5	3	4	-3	5	5	5	4	-3	13	5	2	3	1	2	2	2	2	-5	1	2	2	-5	-3	-5	-3	-5	1	1	1	1	1	2	2	2	4	2	2	1	5	49	78	12	5	5	962	124	39	40	5	14	-3	1	3	2	1	1	1	-5	3	3	2	1	5	0.25	5	12	1	1	2	1	2	12505001	3	3	2111	2046	4	1	3	1	1		1	45	2	45	2	20																			2	2	3	1	4	8	13	5	14	9	16	12	15	4	1	3	7	6	10	2	11	3	2	0	0	2	3	2	2	4	2	2	1	1	3	4	7	-3	5	5	3	-3	6	7	7	5	4	7	2	4	3	2	-3	3	3	3	-3	-3	1	2	3	3	3	-3	2	2	2	3	-5	-5
1848	1848	1	1	1	11	15	2	5	5	5	3	4	3	1	2	3	2	4	4	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	-3	1	2	3	2	2	3	3	3	2	2	2	1	4	2	2	1	2	3	2	3	3	3	4	2	2	1	2	2	4	3	2	4	2	3	4	3	3	2	2	2	2	2	4	3	1	-5	1	2	1	3	1		1	39	1	2	7	2	1	1	2	3	4	2	1	1	2	2	4	2	2	1	2	1	1	1	2	1	1	2	3	1	1	2	2	1	5	5	2	1	1	1	2	2	-3	2	2	3	2	2	3	3	2	1	4	2	2	1	1	2	3	1	3	1	-3	1	3	3	1	5	5	5	4	2	4	5	5	3	16	3	2	3	1	1	2	1	2	-5	3	2	1	1	1	2	3	3	2	2	2	2	2	2	2	2	3	2	1	4	5	46	80	12	5	5	905	127	39	42	4	18	1	1	3	3	1	1	1	40	3	3	2	1	5	0.29	6	12	1	2	1	1	2	12505001	3	2	2145	2116	4	2	1	1	6		1	39	2	38											1	12	2	8							3	3	3	2	4	1	16	9	11	10	14	13	15	2	5	7	12	6	4	3	8	2	3	0	0	2	2	2	3	3	2	2	1	2	3	5	-3	7	6	6	7	8	7	7	6	7	8	6	2	3	3	1	2	3	3	3	2	2	2	3	2	2	2	2	3	3	-3	2	26414	8284
1850	1850	1	1	1	12	0	2	5	1	2	3	4	3	4	4	1	2	3	4	2	2	2	3	4	2	3	5	5	5	4	4	-3	2	2	-3	-3	3	3	2	3	5	3	3	3	-3	2	1	5	2	1	2	2	3	3	3	1	2	-3	1	2	1	1	2	4	-3	-3	4	3	3	3	3	2	1	2	3	4	2	4	4	1	-5	1	2	5	3	1		1	55	3	4	7	4	4	2	2	1	4	2	2	2	2	2	4	4	3	2	2	1	2	2	3	3	2	3	2	3	3	3	3	1	5	-3	2	1	1	1	2	1	1	2	1	5	-5	3	2	2	1	3	-5	1	1	1	3	4	3	1	3	3	3	3	3	1	3	2	1	5	4	5	5	5	4	3	6	5	2	3	1	3	-5	1	2	-5	2	-5	1	2	2	-5	1	1	2	2	2	2	2	-3	2	2	5	2	2	1	5	46	80	12	5	6	994	127	39	42	4	99	1	3	1	3	7	1	1	32	3	3	3	5	5	0.31	1	12	1	2	2	3	1	12505001	4	3	2123	2052	4	2	1	1	6		1	55																							3	3	3	1	3	6	10	4	7	8	15	11	5	9	3	2	12	14	13	1	16	3	1	5	0	3	3	3	3	4	2	2	3	2	1	5	5	5	6	6	5	5	3	3	5	5	3	4	4	4	3	2	2	3	2	2	3	3	3	3	3	1	1	3	1	2	2	3	56305	3460
1851	1851	1	1	1	10	0	3	2	5	2	4	2	1	1	2	4	3	4	4	4	3	3	4	3	3	2	1	2	2	3	2	2	-3	-3	2	-3	2	3	3	3	3	3	3	3	2	2	1	2	2	2	2	2	2	1	5	5	5	-3	2	3	3	2	1	1	3	3	3	1	2	3	2	2	3	2	3	3	1	4	3	2	1	4	1	2	4	6		2	61	1	3	7	1	1	1	2	2	1	1	1	2	1	1	3	3	1	2	2	2	2	2	1	2	1	2	2	-3	-3	-3	2	2	4	4	3	1	2	1	2	1	1	2	2	4	3	3	3	3	3	1	3	2	2	2	1	3	2	2	2	-3	-3	2	3	3	1	5	4	3	2	2	2	3	2	4	17	1	2	3	1	2	3	2	2	-5	1	2	2	-5	2	-5	2	-5	1	1	1	1	1	3	3	2	3	2	2	2	5	45	79	12	3		917	125	39	41	2	8	3	3	1	3	2	1	1	-5	3	3	2	1	5	0.55	3	12	1	2	2	2	2	12303026	3	3	1628	1533	2	1	1	1	6		1	63	2	61																					1	3	3	1	4	2	9	14	13	11	15	7	8	10	1	4	6	12	3	5	16	2	2	0	0	2	2	2	3	4	2	3	1	2	4	6	7	7	7	7	7	7	8	7	7	6	7	8	2	3	3	2	2	3	3	3	2	2	2	2	3	1	2	2	2	2	-3	2	31509	4190
1853	1853	1	1	1	11	0	1	2	5	2	4	4	3	2	4	4	2	4	5	4	3	4	2	3	4	3	3	3	2	4	3	1	2	-3	3	2	1	3	2	3	3	2	3	3	2	2	1	3	2	2	1	2	4	4	4	4	4	-3	3	2	1	3	1	4	-3	3	4	2	3	4	3	2	1	2	-3	3	2	2	2	1	-5	1	1	2	4	1		2	53	1	4	6	2	1	1	2	2	2	2	3	2	1	2	3	3	2	1	1	1	1	2	2	2	1	2	2	3	2	2	2	1	5	5	2	1	1	1	2	2	1	2	2	3	3	5	3	2	1	1	2	1	2	-3	2	5	2	1	2	1	1	1	3	3	3	1	4	1	1	4	5	2	3	2	13	2	2	3	5	3	-5	2	2	-5	2	-5	2	-5	3	2	2	-5	1	1	1	3	1	-3	3	1	2	1	2	1	4	15	30	5	6	5	238	37	15	14	4	99	-3	1	1	3	1	1	2	16	3	3	2	1	-3	0.44	1	12	1	2	2	2	1	5639017	3	3	2141	2057	4	1	3	1	2		1	56	2	53	1	24	2	16																	2	3	3	2	3	15	8	9	6	13	16	7	10	4	12	2	11	14	3	1	5	4	2	0	3	2	2	1	2	3	2	1	1	3	1	5	6	7	6	6	5	6	6	5	-3	6	6	6	2	3	3	2	2	2	2	2	3	2	3	2	3	2	3	2	2	2	2	2	31504	4121
91853	1853	2	1	1	10	-5	2	4	1	2	4	3	4	4	2	3	5	5	3	2	2	4	2	2	5	3	2	-3	5	4	3	-3	1	3	3	1	1	2	2	3	4	3	3	1	1	2	2	4	2	2	1	2	4	2	2	2	4	4	2	1	1	2	2	-3	4	2	4	2	2	2	2	1	3	3	2	2	2	5	2	1	-5	-5	1	1	4	7		2	16	5	5	-5	2	3	1	2	2	3	1	2	3	3	2	2	2	2	1	1	1	1	1	3	2	1	2	2	2	3	2	3	2	3	4	1	1	1	-3	1	1	1	2	1	5	-5	8	1	1	1	1	-3	1	1	1	5	5	3	2	3	1	3	1	3	3	-3	2	5	2	5	5	5	3	5	2	13	3	2	3	1	1	-3	1	2	-5	1	2	1	2	2	-5	2	-5	1	1	1	2	1	-3	1	1	3	1	2	5	4	15	30	5	6	5	238	37	15	14	4	99	1	1	3	3	1	1	2	13	3	3	-3	2	4	0.3	10	12	1	3	2	2	1	5639017	3	3	2241	2211	3	1	3	1	2		1	56	2	53	1	24	2	16																	2	3	3	2	3	13	10	6	1	3	15	14	16	12	9	7	4	8	11	2	5	4	2	0	0	3	2	1	1	2	1	1	1	4	2	5	4	6	2	6	6	3	5	5	3	-3	6	-3	2	2	3	3	1	3	2	2	3	2	2	3	-3	3	2	2	2	2	4	4	-5	-5
1854	1854	1	1	1	11	0	2	1	4	1	4	4	1	1	2	2	2	4	4	4	4	3	3	3	3	3	2	-3	3	4	3	2	2	1	2	1	3	4	2	4	4	3	4	3	2	2	2	4	2	2	2	2	2	2	4	4	4	4	1	2	3	1	2	4	3	3	4	3	3	3	3	3	3	2	2	4	2	3	3	1	1	1	2	2	3	5		2	36	1	5	6	2	2	2	2	2	3	2	2	1	1	4	3	3	1	1	1	2	1	2	3	3	2	3	2	-3	1	3	3	1	4	-3	2	1	2	1	2	2	1	1	1	5	-5	3	-3	2	2	2	-3	2	2	1	3	2	3	1	3	-3	1	1	3	3	1	4	4	2	3	3	4	4	5	3	13	4	1	3	1	2	2	1	2	-5	1	2	1	2	2	-5	1	2	1	1	2	2	2	4	2	2	4	2	2	2	4	14	26	5	2		202	35	15	14	2	6	1	1	3	2	1	1	1	12	3	3	2	2	3	1.53	3	12	1	2	2	2	1	5221021	2	3	2110	1917	4	1	1	1	6		1	43	2	36											2	12									1	2	3	1	2	1	9	5	12	6	10	13	14	2	3	11	15	7	8	4	16	4	3	0	0	2	2	2	3	4	2	3	1	3	3	4	6	6	4	5	3	6	6	6	5	6	7	7	2	3	3	2	2	3	3	3	2	2	2	3	2	1	1	3	2	3	4	4	51507	3433
1855	1855	1	1	1	14	99	4	3	5	4	3	2	4	4	1	1	4	5	2	2	5	2	2	2	4	3	3	-3	4	4	2	2	3	3	3	3	3	4	4	5	4	4	4	4	2	2	1	4	2	1	1	2	4	4	2	4	2	4	2	3	3	3	1	2	3	4	2	4	3	3	3	2	4	1	1	5	2	3	2	2	1	1	1	3	4	8		1	71	1	7	5	1	1	1	2	4	4	2	4	2	2	4	3	2	2	2	1	1	2	2	1	2	1	2	2	-3	-3	2	2	2	3	3	2	1	1	1	2	1	1	2	2	4	2	3	3	3	3	1	3	2	2	2	2	5	3	2	3	3	1	1	3	3	1	4	4	4	2	2	2	5	3	3	17	2	1	1	1	2	3	1	2	-5	1	2	2	-5	2	-5	2	-5	1	1	1	1	1	4	3	2	3	1	2	2	4	14	26	5	7	7	277	36	15	14	4	6	1	3	1	3	1	1	1	-5	3	3	3	1	1	0.45	29	11	1	3	2	2	2	5744023	3	3	2325	2240	4	2	1	1	6		1	71	2	61																					1	3	3	1	3	5	12	8	1	7	16	10	15	3	4	6	9	14	11	2	13	4	2	45	10	2	2	1	2	3	1	2	2	2	2	7	7	7	8	8	4	7	8	6	7	7	7	7	2	4	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	4	-3	78801	1200
1857	1857	1	1	1	14	3	5	1	5	6	4	1	1	1	3	3	1	2	4	2	3	3	2	2	4	1	1	2	2	4	3	1	4	4	4	2	1	3	3	4	3	2	3	3	2	2	1	3	2	2	2	2	3	1	1	5	2	1	2	3	3	3	1	1	3	4	3	5	3	4	5	3	4	1	4	5	2	3	5	2	1	1	1	1	2	5		2	70	1	2	6	1	1	-3	-3	3	3	3	2	1	2	2	5	5	2	2	1	1	1	1	1	2	1	3	2	3	2	2	2	2	3	3	3	1	-3	2	2	2	1	8	8	1	1	5	5	1	3	1	8	2	1	2	1	1	3	1	1	3	1	3	1	3	3	1	5	4	4	5	5	2	3	3	12	1	2	3	4	3	-5	2	2	-5	2	-5	2	-5	2	-5	2	-5	1	1	3	4	1	4	3	2	5	2	2	2	4	14	26	5	7	7	277	36	15	14	4	6	3	3	1	3	8	1	1	-5	3	2	3	1	5	0.46	30	11	1	2	2	1	2	5744023	4	3	1020	934	2	1	1	1	6		1	70	2	70																					3	1	3	1	4	1	15	11	4	14	9	16	13	6	7	2	12	5	8	3	10	3	3	0	0	2	2	2	4	4	4	2	1	2	3	4	8	8	6	6	3	7	7	8	5	5	8	7	4	3	3	2	2	2	3	3	2	2	2	3	-3	2	2	3	4	4	1	4	49208	3231
1858	1858	1	1	1	13	0	3	2	5	5	3	2	3	3	1	1	4	3	4	2	2	2	2	2	2	3	3	3	3	2	3	2	-3	-3	3	3	2	4	3	5	4	4	3	4	2	2	1	3	1	2	1	2	4	3	2	2	2	4	1	1	3	3	2	3	3	3	3	4	3	3	3	2	4	3	2	3	2	2	3	2	1	1	1	2	2	5		2	72	1	3	6	1	1	1	2	2	2	2	3	2	3	3	4	3	2	2	1	1	1	1	1	2	1	2	1	2	1	2	1	2	3	3	2	1	1	2	2	1	1	2	2	2	2	3	3	3	2	1	1	1	1	1	2	5	3	1	2	2	3	3	3	3	1	2	4	4	2	3	2	4	2	3	17	2	2	2	1	2	3	2	1	2	3	2	2	-5	2	-5	2	-5	1	1	3	4	1	3	3	2	4	2	2	2	4	14	26	5	7	7	277	36	15	14	4	6	1	1	1	2	1	1	1	-5	3	3	2	2	3	0.37	30	11	1	2	2	2	2	5744023	3	3	1439	1402	4	1	1	1	6		1	70	2	72																					3	1	3	1	4	3	8	2	10	1	15	14	11	9	5	7	6	12	13	4	16	4	2	4	0	2	2	1	4	4	2	2	2	2	3	1	3	7	5	5	6	8	7	6	6	4	3	7	3	3	3	2	1	3	3	3	2	2	3	3	3	2	2	3	2	3	4	3	45103	3111
1859	1859	1	1	1	12	0	4	2	5	1	4	3	1	1	4	4	2	5	5	3	4	2	2	2	4	2	2	3	3	4	3	1	2	3	4	3	2	3	2	4	3	3	3	2	2	2	2	4	2	2	2	2	4	2	4	2	2	4	1	2	1	2	2	4	3	3	3	4	3	3	3	2	4	2	3	5	3	4	4	1	-5	2	1	1	3	1		1	52	1	2	7	2	1	2	2	1	3	2	3	2	3	2	4	5	1	1	2	2	1	2	2	3	1	2	-3	2	-3	-3	2	2	2	3	3	1	1	1	2	1	1	1	1	5	-5	3	3	3	2	1	4	1	1	1	5	2	3	1	3	1	1	3	3	1	3	2	5	5	4	5	1	5	2	4	13	2	2	2	5	2	3	2	2	-5	2	-5	1	2	2	-5	1	3	1	1	2	2	1	3	3	2	4	2	2	2	4	14	25	5	6	5	219	29	14	13	4	99	3	3	1	3	2	1	1	36	3	3	3	1	2	0.39	2	12	1	3	2	6	2	5639017	4	3	1338	1259	4	2	1	1	6		1	52	2	51																					2	3	3	1	5	2	5	6	8	13	15	9	12	4	1	11	14	10	7	3	16	4	2	4	1	2	3	2	4	4	4	2	1	1	4	4	6	5	6	5	3	6	7	7	7	5	8	6	2	4	3	2	3	2	3	3	2	2	2	2	3	1	2	2	2	3	4	3	53203	3440
1861	1861	1	1	1	9	-5	3	3	4	2	4	3	1	1	2	3	2	-3	3	3	3	2	-3	3	2	3	4	5	5	4	4	2	2	-3	2	-3	2	3	3	2	3	2	2	4	-3	2	2	4	2	2	2	2	4	3	3	3	2	-3	2	3	2	1	1	2	3	-3	2	2	3	-3	-3	-3	3	-3	3	3	2	-3	4	1	-5	-5	2	1	4	9		2	36	1	2	-5	3	1	-3	2	1	3	1	1	1	2	3	3	3	1	1	2	1	1	1	3	3	2	3	2	2	2	3	2	1	4	3	2	1	-3	1	-3	-3	1	1	1	5	-5	3	-3	2	2	3	-5	1	1	1	1	-3	3	1	-3	3	1	1	3	2	3	3	3	3	2	4	2	3	4	-3	11	4	2	3	-3	2	3	2	2	-5	2	-5	1	2	1	2	1	2	1	1	1	1	1	-3	2	2	3	2	1	3	4	16	23	5	6	4	286	28	14	11	5	99	-3	3	1	2	1	1	1	6	1	2	3	1	5	0.35	29	11	1	2	2	1	3	5639017	3	3	2216	2141	2	1	1	1	6		1	39	2	36											2	8	2	5							2	3	3	1	4	3	8	2	5	10	13	9	16	11	1	7	6	12	14	4	15	3	2	1	0	2	2	1	3	4	3	2	2	3	2	5	7	7	4	7	6	7	7	6	5	6	7	7	2	3	3	2	2	3	2	2	3	2	2	3	2	1	2	2	-3	3	4	4	-5	-5
1863	1863	1	1	1	11	2	2	1	5	6	4	4	1	1	3	4	2	3	5	5	2	4	4	2	1	2	1	-3	2	4	2	2	4	4	3	4	1	1	2	5	2	1	2	3	2	2	1	5	2	1	1	2	3	3	3	5	4	-3	3	3	3	3	1	4	3	4	3	4	3	4	4	3	2	2	4	4	2	5	4	2	1	2	2	2	2	8		1	72	1	4	6	1	1	2	2	1	3	3	4	4	1	4	3	5	1	2	1	1	2	1	2	2	2	1	2	2	2	3	1	1	4	4	2	1	1	1	2	1	1	4	8	1	2	3	2	-3	2	1	-2	1	1	1	1	1	2	2	3	3	1	3	3	3	3	3	2	2	5	2	1	2	2	3	-2	3	2	2	4	3	-5	3	2	-5	1	2	3	2	1	2	2	-5	1	1	2	4	1	4	3	2	3	2	2	2	3	9	12	3	2	0	114	15	8	8	4	99	3	3	1	2	1	1	1	-5	3	3	3	2	5	0.43	1	12	1	2	1	1	1	3201020	2	2	2226	2143	4	2	3	1	3		1	72	2	71	2	33																			3	1	3	1	4	1	8	10	7	15	4	11	13	5	3	6	14	12	2	9	16	4	2	1	0	2	1	2	4	4	3	3	2	2	3	4	5	6	4	5	3	5	4	3	5	5	7	7	3	2	3	3	2	3	3	3	3	3	3	3	3	1	1	3	2	4	4	4	71509	1231
91863	1863	2	1	1	20	0	4	2	1	6	4	4	1	1	4	4	2	3	5	5	1	4	4	2	2	2	2	2	1	5	2	2	2	4	4	4	1	1	1	4	2	2	2	2	2	2	1	5	2	1	1	2	3	3	5	4	5	4	3	2	1	1	1	4	2	4	4	4	3	3	3	2	3	1	3	4	2	4	4	1	-5	2	2	4	1	1		2	33	5	7	5	1	1	2	1	1	4	3	3	2	1	2	4	5	1	2	1	2	2	1	2	3	2	2	2	2	2	3	2	2	3	3	1	1	-3	2	2	1	1	4	8	1	2	3	2	2	2	1	1	1	1	1	1	1	2	2	2	2	1	3	1	3	1	2	2	3	5	2	4	2	3	3	-2	2	2	3	4	3	-5	2	2	-5	2	-5	2	-5	2	-5	3	3	1	1	3	4	1	4	3	2	4	2	1	1	3	9	12	3	2	0	114	15	8	8	4	99	3	3	1	2	1	1	1	32	3	3	3	5	4	0.19	2	12	1	1	2	1	1	3201020	2	2	2027	2008	4	2	3	1	3		1	72	2	71	2	33																			3	1	3	1	4	2	11	5	6	15	8	12	13	4	1	9	14	7	3	10	16	4	2	2	0	2	2	1	4	4	3	2	1	3	3	3	4	6	5	4	2	3	3	1	3	4	7	7	3	3	3	2	2	3	3	3	3	3	3	3	2	1	1	4	2	4	4	4	64204	2146
1864	1864	1	1	1	10	1	3	2	5	1	2	2	1	1	2	3	2	3	4	2	4	4	3	1	4	2	2	5	2	1	2	3	1	3	2	1	2	3	3	4	4	3	3	3	2	2	1	3	2	2	2	2	4	2	4	2	3	4	1	2	2	3	2	4	3	3	2	3	3	4	4	2	4	2	2	2	3	2	2	1	-5	5	2	1	3	1		1	38	1	2	2	3	2	1	2	2	3	2	2	2	1	4	3	4	3	1	2	2	1	1	2	2	1	2	2	2	1	3	2	2	4	3	4	1	1	1	2	1	1	1	1	5	-5	3	3	3	2	2	3	1	1	2	2	1	3	1	3	3	1	3	3	3	1	2	3	5	2	3	4	5	5	3	-2	4	2	3	1	2	3	2	2	-5	2	-5	2	-5	2	-5	2	-5	1	1	1	1	1	2	3	2	4	2	2	4	3	8	15	3	5	4	701	17	9	9	5	99	1	1	3	2	1	1	3	50	3	3	2	3	2	0.29	3	12	1	1	2	3	1	3510033	4	3	1608	1539	4	2	1	1	6		1	38	2	32											1	10	1	10							2	2	3	1	4	2	12	7	6	9	16	13	14	3	4	8	11	10	5	1	15	2	2	0	0	2	3	1	1	2	1	3	1	2	4	5	6	6	6	6	5	6	7	7	7	7	7	7	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	3	26219	7131
1866	1866	1	1	1	10	99	2	1	5	1	2	2	3	1	1	3	3	4	3	2	2	3	2	2	2	3	3	3	2	2	3	3	2	2	1	2	2	3	2	-3	2	2	2	2	1	2	1	3	2	2	2	2	4	3	2	2	2	3	1	2	1	3	2	3	3	3	3	4	3	2	2	3	2	2	3	4	2	3	4	2	1	2	2	2	2	8		1	74	1	2	6	1	1	2	2	1	4	2	1	1	1	2	4	4	2	1	1	2	1	2	2	2	1	2	-3	-3	-3	-3	2	1	4	5	1	1	1	1	2	1	1	1	1	5	-5	3	-3	2	2	1	2	2	1	1	1	1	3	1	3	2	1	1	3	3	1	2	2	4	1	1	2	5	1	2	11	2	1	3	2	3	-5	3	2	-5	1	3	2	-5	2	-5	1	2	1	1	4	3	2	4	2	2	4	2	1	2	3	3	10	2	7	4	60	13	4	4	5	99	1	3	1	2	1	1	1	-5	1	2	3	1	5	0.5	30	11	1	3	2	2	1	2701027	3	3	2022	1932	3	2	1	1	6		1	74	2	71																					3	2	3	1	4	4	14	1	6	12	15	13	9	11	2	8	3	10	7	5	16	4	2	15	20	1	2	3	3	4	4	3	1	1	3	6	5	7	6	7	8	8	8	7	9	8	4	4	2	5	3	2	3	2	3	3	3	3	3	3	2	1	1	2	2	3	4	4	62301	2331
1867	1867	1	1	1	12	0	3	3	1	1	4	3	1	1	3	3	5	4	4	4	2	2	4	4	3	2	3	5	2	4	3	4	2	4	3	1	1	2	3	2	4	3	3	2	2	2	3	4	2	2	2	2	3	3	3	4	4	2	2	2	1	2	1	5	2	2	3	2	3	4	4	3	5	1	3	5	2	5	4	1	-5	1	2	1	3	1		1	37	5	2	7	2	1	1	1	2	2	2	5	2	1	3	4	2	2	1	1	2	2	1	1	2	1	3	2	2	3	2	3	3	2	3	2	1	1	1	1	1	1	1	1	5	-5	3	2	2	1	3	-5	1	1	1	2	1	3	1	2	1	3	3	3	3	3	3	3	5	2	2	4	5	2	4	13	5	2	3	1	2	3	2	2	-5	1	2	1	2	1	2	3	2	1	1	3	3	3	3	1	2	5	2	2	2	3	1	3	1	4	6	18	4	3	3	3	99	1	3	1	2	7	1	1	36	3	3	3	1	5	0.3	3	12	1	2	2	2	2	1404022	3	3	1355	1325	4	1	1	1	6		1	37																							3	4	3	1	5	1	12	9	13	7	15	5	10	3	2	4	14	8	6	11	16	3	2	0	0	1	2	3	4	4	3	3	1	1	4	4	7	6	4	3	1	7	7	5	4	3	8	5	4	5	3	1	3	3	3	3	1	3	2	1	3	1	3	4	1	2	2	3	27112	8200
1868	1868	1	1	1	18	0	1	4	1	3	5	-3	4	4	1	2	2	4	4	4	4	4	4	2	4	3	2	2	2	4	4	2	2	-3	3	2	2	3	3	2	4	2	4	3	2	2	1	5	1	2	1	2	1	4	4	4	4	3	2	3	1	3	2	2	2	3	3	2	2	2	2	2	1	4	2	4	2	4	2	1	-5	1	1	4	1	1		2	25	5	7	5	3	2	2	2	2	2	2	1	4	2	4	-3	2	2	1	2	1	1	1	2	3	1	-3	2	-3	2	-3	-3	1	5	5	2	1	-3	1	1	-3	2	2	1	5	-5	3	2	2	2	2	-3	2	2	-3	4	5	2	2	2	1	1	1	3	-3	-3	4	5	2	4	4	5	2	4	3	7	5	1	3	1	2	2	1	2	-5	2	-5	1	3	1	2	1	2	2	2	2	2	2	2	2	2	4	2	1	3	1	21	44	7	1		363	63	23	21	1	2	1	1	3	3	7	2	-5	34	3	3	2	3	4	0.36	9	12	1	2	2	3	2	7100015	3	3	1801	1725	2	1	1	1	6				2	25																					2	3	3	2	3	7	9	11	1	12	16	10	14	2	6	13	15	8	3	4	5	2	3	0	3	2	2	1	2	4	2	1	2	4	2	6	7	8	-3	7	8	7	8	8	6	8	7	6	1	2	3	2	2	3	2	2	3	2	3	2	2	3	3	2	3	3	3	3	89207	2221
